LINE TYPE,CHARGE CODE/ PACKAGE,CHARGE DESCRIPTION,DRG,CPT,HCPCS,MODIFIER,REV CODE,NDC,GROSS CHARGES,SELF PAY CASH PRICE,MIN NEGOTIATED RATE,MAX NEGOTIATED RATE,Aetna US Healthcare PPO/POS Out Net IP Rate,Aetna US Healthcare PPO/POS Out Net OP Rate,  Anaheim Memorial Medical Center HMO/POS/PPO IP Rate,  Anaheim Memorial Medical Center HMO/POS/PPO OP Rate,  Beech Street PPO IP Rate,  Beech Street PPO OP Rate,Blue Cross of California HMO/POS In Net IP Rate,Blue Cross of California HMO/POS In Net OP Rate,Blue Cross of California HMO/POS/PPO** IP Rate,Blue Cross of California HMO/POS/PPO** OP Rate,Blue Cross of California PPO/POS Out Net IP Rate,Blue Cross of California PPO/POS Out Net OP Rate,Blue Shield of California HMO/POS/PPO** IP Rate,Blue Shield of California HMO/POS/PPO** OP Rate,CalOPTIMA Direct IP Rate,CalOPTIMA Direct OP Rate,  CalOPTIMA Direct Medi-Cal Expansion IP Rate,  CalOPTIMA Direct Medi-Cal Expansion OP Rate,  CalOPTIMA OneCare IP Rate,  CalOPTIMA OneCare OP Rate,  Family Choice (Fountain Valley Reg Hosp) Medi-Cal/CalOPTIMA IP Rate,CHOC Health Alliance Medi-Cal/CalOPTIMA IP Rate,CHOC Health Alliance Medi-Cal/CalOPTIMA OP Rate,CHOC Physicians Network (CPN) Medi-Cal/CalOPTIMA/Healthy Familie IP Rate,CHOC Physicians Network (CPN) Medi-Cal/CalOPTIMA/Healthy Familie OP Rate,Cigna EPO/PPO** IP Rate,Cigna EPO/PPO** OP Rate,Cigna Healthcare of California HMO/POS In Net IP Rate,Cigna Healthcare of California HMO/POS In Net OP Rate,  Family Choice (Fountain Valley Reg Hosp) Medi-Cal/CalOPTIMA OP Rate,Health Net PPO/POS Out Net** IP Rate,Health Net PPO/POS Out Net** OP Rate,  Humana ChoiceCare PPO IP Rate,  Humana ChoiceCare PPO OP Rate,Inland Empire Health Plan Medi-Cal IP Rate,Inland Empire Health Plan Medi-Cal OP Rate,  Interplan Corporation PPO IP Rate,  Interplan Corporation PPO OP Rate,  La Salle Medical Associates HMO/POS In Net IP Rate,  La Salle Medical Associates HMO/POS In Net OP Rate,  Medi-Cal Out of County-LA Care IP Rate,  Medi-Cal Out of County-LA Care OP Rate,  Molina Medi-Cal IP Rate,  Molina Medi-Cal OP Rate,  Monarch Health Plan/Medi-Cal/Cal Optima IP Rate,  Monarch Health Plan/Medi-Cal/Cal Optima OP Rate,  MultiPlan PPO IP Rate,  MultiPlan PPO OP Rate,  National Provider Network PPO IP Rate,  National Provider Network PPO OP Rate,  PPO NEXT PPO IP Rate,  PPO NEXT PPO OP Rate,  Prospect Medical and Its Affiliated Medical Groups IP Rate,  Prospect Medical and Its Affiliated Medical Groups OP Rate,  State of CA Medical Assistance Commission CCS/Medi-Cal IP Rate,  State of CA Medical Assistance Commission CCS/Medi-Cal OP Rate,  Three Rivers Provider Network (TRPN) PPO IP Rate,  Three Rivers Provider Network (TRPN) PPO OP Rate,  UCI Medical Group HMO/POS in Net IP Rate,  UCI Medical Group HMO/POS in Net OP Rate,UnitedHealthcare HMO/POS In Net IP Rate,UnitedHealthcare HMO/POS In Net OP Rate,UnitedHealthcare PPO/POS Out Net IP Rate,UnitedHealthcare PPO/POS Out Net OP Rate,  USA Health Network PPO IP Rate,  USA Health Network PPO OP Rate
CDM,1156288,TNF_ORAL SYRINGE,,,,,250,00000-0000-06,$5.02,$5.02,$2.61,$4.52,,$2.61,,$3.01,,$4.02,,$3.86,,$4.12,,$3.86,,$3.26,,,,,,,,,,,,,,,$3.26,,,$3.35,,$4.02,,,,$4.02,,$3.26,,,,,,,,$4.02,,$4.27,,$4.02,,$2.76,,,,$4.52,,$3.26,,$2.89,,$2.89,,$4.27
CDM,6299912,PHENOL TOPICAL SWA,,,,,250,00884-6297-30,$49.50,$49.50,$25.74,$44.55,,$25.74,,$29.70,,$39.60,,$38.03,,$40.59,,$38.03,,$32.17,,,,,,,,,,,,,,,$32.17,,,$33.07,,$39.60,,,,$39.60,,$32.18,,,,,,,,$39.60,,$42.08,,$39.60,,$27.23,,,,$44.55,,$32.18,,$28.46,,$28.46,,$42.08
CDM,6604377,00006-4095-02 - HEPATITIS A PEDIATRIC VACCINE SUS,,,,,250,19515-0906-52,$277.80,$277.80,$144.46,$250.02,,$144.46,,$166.68,,$222.24,,$213.41,,$227.80,,$213.41,,$180.57,,,,,,,,,,,,,,,$180.57,,,$185.57,,$222.24,,,,$222.24,,$180.57,,,,,,,,$222.24,,$236.13,,$222.24,,$152.79,,,,$250.02,,$180.57,,$159.74,,$159.73,,$236.13
CDM,6612926,"T-D10 1/2NS+20 MEQ/L K ACETATE 1,000 ML",,,,,250,9999-999-365,$350.80,$350.80,$182.42,$315.72,,$182.42,,$210.48,,$280.64,,$269.48,,$287.66,,$269.48,,$228.02,,,,,,,,,,,,,,,$228.02,,,$234.33,,$280.64,,,,$280.64,,$228.02,,,,,,,,$280.64,,$298.18,,$280.64,,$192.94,,,,$315.72,,$228.02,,$201.71,,$201.71,,$298.18
CDM,6612927,"T-D10 1/2NS+40 MEQ/L K ACETATE 1,000 ML INFUSION",,,,,250,9999-999-366,$331.85,$331.85,$172.56,$298.67,,$172.56,,$199.11,,$265.48,,$254.93,,$272.12,,$254.93,,$215.70,,,,,,,,,,,,,,,$215.70,,,$221.68,,$265.48,,,,$265.48,,$215.70,,,,,,,,$265.48,,$282.07,,$265.48,,$182.52,,,,$298.67,,$215.70,,$190.81,,$190.81,,$282.07
CDM,6612931,"T-NS+20 MEQ K ACETATE 1,000 ML INFUSION",,,,,250,9999-999-368,$350.80,$350.80,$182.42,$315.72,,$182.42,,$210.48,,$280.64,,$269.48,,$287.66,,$269.48,,$228.02,,,,,,,,,,,,,,,$228.02,,,$234.33,,$280.64,,,,$280.64,,$228.02,,,,,,,,$280.64,,$298.18,,$280.64,,$192.94,,,,$315.72,,$228.02,,$201.71,,$201.71,,$298.18
CDM,6640202,OR- SODIUM HYALURONATE OPHTHALMIC LIQ 0.85 ML,,,,,250,08065-1830-85,"$1,566.75","$1,566.75",$814.71,"$1,410.08",,$814.71,,$940.05,,"$1,253.40",,"$1,203.58",,"$1,284.73",,"$1,203.58",,"$1,018.39",,,,,,,,,,,,,,,"$1,018.39",,,"$1,046.59",,"$1,253.40",,,,"$1,253.40",,"$1,018.39",,,,,,,,"$1,253.40",,"$1,331.74",,"$1,253.40",,$861.71,,,,"$1,410.08",,"$1,018.39",,$900.88,,$900.88,,"$1,331.74"
CDM,5069922,SODIUM CHLORIDE 0.9% 2.5 ML SYRINGE,,,A4218,,250,17474-3002-02,$94.91,$94.91,$49.35,$85.42,,$49.35,,$56.95,,$75.93,,$72.91,,$77.83,,$72.91,,$61.69,,,,,,,,,,,,,,,$61.69,,,$63.40,,$75.93,,,,$75.93,,$61.69,,,,,,,,$75.93,,$80.67,,$75.93,,$52.20,,,,$85.42,,$61.69,,$54.57,,$54.57,,$80.67
CDM,1006588,DIPHENHYDRAMINE (BENADRYL) ORAL 50MG CAP,,,A9150,,250,00904-2056-61,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,1006680,IBUPROFEN (MOTRIN) ORAL 200MG TAB,,,A9150,,250,00904-7915-40,$16.63,$16.63,$8.65,$14.97,,$8.65,,$9.98,,$13.30,,$12.78,,$13.64,,$12.78,,$10.81,,,,,,,,,,,,,,,$10.81,,,$11.11,,$13.30,,,,$13.30,,$10.81,,,,,,,,$13.30,,$14.14,,$13.30,,$9.15,,,,$14.97,,$10.81,,$9.56,,$9.56,,$14.14
CDM,1928843,IBUPROFEN 20 MG/ML   (100 MG/5 ML),,,A9150,,250,68094-0494-61,$10.65,$10.65,$5.54,$9.59,,$5.54,,$6.39,,$8.52,,$8.18,,$8.73,,$8.18,,$6.92,,,,,,,,,,,,,,,$6.92,,,$7.11,,$8.52,,,,$8.52,,$6.92,,,,,,,,$8.52,,$9.05,,$8.52,,$5.86,,,,$9.59,,$6.92,,$6.12,,$6.12,,$9.05
CDM,2840898,ACETAMINOPHEN SUS,,,A9150,,250,68094-0588-62,$16.50,$16.50,$8.58,$14.85,,$8.58,,$9.90,,$13.20,,$12.68,,$13.53,,$12.68,,$10.72,,,,,,,,,,,,,,,$10.72,,,$11.02,,$13.20,,,,$13.20,,$10.73,,,,,,,,$13.20,,$14.03,,$13.20,,$9.08,,,,$14.85,,$10.73,,$9.49,,$9.49,,$14.03
CDM,4963985,*DIPHENHYDRAMINE (BENADRYL) ORAL 25MG/10ML ELIXIR,,,A9150,,250,00121-0489-00,$35.03,$35.03,$18.22,$31.53,,$18.22,,$21.02,,$28.02,,$26.91,,$28.72,,$26.91,,$22.77,,,,,,,,,,,,,,,$22.77,,,$23.40,,$28.02,,,,$28.02,,$22.77,,,,,,,,$28.02,,$29.78,,$28.02,,$19.27,,,,$31.53,,$22.77,,$20.14,,$20.14,,$29.78
CDM,5054241,*DIPHENHYDRAMINE 25 MG CAP,,,A9150,,250,00904-5306-61,$10.33,$10.33,$5.37,$9.30,,$5.37,,$6.20,,$8.26,,$7.94,,$8.47,,$7.94,,$6.71,,,,,,,,,,,,,,,$6.71,,,$6.90,,$8.26,,,,$8.26,,$6.71,,,,,,,,$8.26,,$8.78,,$8.26,,$5.68,,,,$9.30,,$6.71,,$5.94,,$5.94,,$8.78
CDM,5233650,DIPHENHYDRAMINE 2.5 MG/ML ELIXIR 5 ML,,,A9150,,250,00121-0489-00,$35.03,$35.03,$18.22,$31.53,,$18.22,,$21.02,,$28.02,,$26.91,,$28.72,,$26.91,,$22.77,,,,,,,,,,,,,,,$22.77,,,$23.40,,$28.02,,,,$28.02,,$22.77,,,,,,,,$28.02,,$29.78,,$28.02,,$19.27,,,,$31.53,,$22.77,,$20.14,,$20.14,,$29.78
CDM,5273102,DIPHENHYDRAMINE 25 MG CAP,,,A9150,,250,00904-5306-61,$10.33,$10.33,$5.37,$9.30,,$5.37,,$6.20,,$8.26,,$7.94,,$8.47,,$7.94,,$6.71,,,,,,,,,,,,,,,$6.71,,,$6.90,,$8.26,,,,$8.26,,$6.71,,,,,,,,$8.26,,$8.78,,$8.26,,$5.68,,,,$9.30,,$6.71,,$5.94,,$5.94,,$8.78
CDM,6536559,00574-7050-12 - BISACODYL SUP,,,A9150,,250,00245-0104-50,$22.71,$22.71,$11.81,$20.44,,$11.81,,$13.63,,$18.17,,$17.45,,$18.62,,$17.45,,$14.76,,,,,,,,,,,,,,,$14.76,,,$15.17,,$18.17,,,,$18.17,,$14.76,,,,,,,,$18.17,,$19.30,,$18.17,,$12.49,,,,$20.44,,$14.76,,$13.06,,$13.06,,$19.30
CDM,6540724,00087-0866-44 - CHOLECALCIFEROL (VITAMIN D3) 400 UNITS/ML DROPS,,,A9150,,250,50383-0917-50,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,6557046,ACETAMINOPHEN 325 MG TAB,,,A9150,,250,50580-0600-02,$12.01,$12.01,$6.25,$10.81,,$6.25,,$7.21,,$9.61,,$9.23,,$9.85,,$9.23,,$7.81,,,,,,,,,,,,,,,$7.81,,,$8.02,,$9.61,,,,$9.61,,$7.81,,,,,,,,$9.61,,$10.21,,$9.61,,$6.61,,,,$10.81,,$7.81,,$6.91,,$6.91,,$10.21
CDM,6557159,ACETAMINOPHEN 32 MG/ML CUP 10.15 ML,,,A9150,,250,68094-0588-62,$16.50,$16.50,$8.58,$14.85,,$8.58,,$9.90,,$13.20,,$12.68,,$13.53,,$12.68,,$10.72,,,,,,,,,,,,,,,$10.72,,,$11.02,,$13.20,,,,$13.20,,$10.73,,,,,,,,$13.20,,$14.03,,$13.20,,$9.08,,,,$14.85,,$10.73,,$9.49,,$9.49,,$14.03
CDM,6557588,ACETAMINOPHEN 500 MG TABLET,,,A9150,,250,00904-1988-61,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,6587045,ACETAMINOPHEN 325 MG TAB,,,A9150,,250,50580-0600-02,$12.01,$12.01,$6.25,$10.81,,$6.25,,$7.21,,$9.61,,$9.23,,$9.85,,$9.23,,$7.81,,,,,,,,,,,,,,,$7.81,,,$8.02,,$9.61,,,,$9.61,,$7.81,,,,,,,,$9.61,,$10.21,,$9.61,,$6.61,,,,$10.81,,$7.81,,$6.91,,$6.91,,$10.21
CDM,6604608,DIPHENHYDRAMINE 2.5 MG/ML ELIXIR 5 ML,,,A9150,,250,00121-0489-00,$35.03,$35.03,$18.22,$31.53,,$18.22,,$21.02,,$28.02,,$26.91,,$28.72,,$26.91,,$22.77,,,,,,,,,,,,,,,$22.77,,,$23.40,,$28.02,,,,$28.02,,$22.77,,,,,,,,$28.02,,$29.78,,$28.02,,$19.27,,,,$31.53,,$22.77,,$20.14,,$20.14,,$29.78
CDM,6614568,IBUPROFEN 20 MG/ML   (100 MG/5 ML),,,A9150,,250,68094-0494-61,$10.65,$10.65,$5.54,$9.59,,$5.54,,$6.39,,$8.52,,$8.18,,$8.73,,$8.18,,$6.92,,,,,,,,,,,,,,,$6.92,,,$7.11,,$8.52,,,,$8.52,,$6.92,,,,,,,,$8.52,,$9.05,,$8.52,,$5.86,,,,$9.59,,$6.92,,$6.12,,$6.12,,$9.05
CDM,6630694,ACETAMINOPHEN 500 MG TABLET,,,A9150,,250,00904-1988-61,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,6669961,DIPHENHYDRAMINE 2.5 MG/ML ELIXIR 5 ML,,,A9150,,250,00121-0489-00,$35.03,$35.03,$18.22,$31.53,,$18.22,,$21.02,,$28.02,,$26.91,,$28.72,,$26.91,,$22.77,,,,,,,,,,,,,,,$22.77,,,$23.40,,$28.02,,,,$28.02,,$22.77,,,,,,,,$28.02,,$29.78,,$28.02,,$19.27,,,,$31.53,,$22.77,,$20.14,,$20.14,,$29.78
CDM,6680405,00574-0120-76 - CHARCOAL-SORBITOL SUS,,,A9150,,250,52604-8002-08,$135.40,$135.40,$70.41,$121.86,,$70.41,,$81.24,,$108.32,,$104.01,,$111.03,,$104.01,,$88.01,,,,,,,,,,,,,,,$88.01,,,$90.45,,$108.32,,,,$108.32,,$88.01,,,,,,,,$108.32,,$115.09,,$108.32,,$74.47,,,,$121.86,,$88.01,,$77.86,,$77.86,,$115.09
CDM,6682264,00904-6730-61 - ACETAMINOPHEN 500MG TAB,,,A9150,,250,00904-1988-61,$9.42,$9.42,$4.90,$8.48,,$4.90,,$5.65,,$7.54,,$7.24,,$7.72,,$7.24,,$6.12,,,,,,,,,,,,,,,$6.12,,,$6.29,,$7.54,,,,$7.54,,$6.12,,,,,,,,$7.54,,$8.01,,$7.54,,$5.18,,,,$8.48,,$6.12,,$5.42,,$5.42,,$8.01
CDM,6686186,35046-0004-31 - UBIQUINONE (CO-ENZYME Q) 50 MG CAP,,,A9150,,250,35046-0043-16,$47.90,$47.90,$24.91,$43.11,,$24.91,,$28.74,,$38.32,,$36.80,,$39.28,,$36.80,,$31.14,,,,,,,,,,,,,,,$31.14,,,$32.00,,$38.32,,,,$38.32,,$31.14,,,,,,,,$38.32,,$40.72,,$38.32,,$26.35,,,,$43.11,,$31.14,,$27.54,,$27.54,,$40.72
CDM,4965554,*CAPHOSOL 30 ML (=1 BLUE & 1 CLEAR PKT),,,A9155,,250,08489-8000-04,$61.75,$61.75,$32.11,$55.58,,$32.11,,$37.05,,$49.40,,$47.44,,$50.63,,$47.44,,$40.14,,,,,,,,,,,,,,,$40.14,,,$41.25,,$49.40,,,,$49.40,,$40.14,,,,,,,,$49.40,,$52.49,,$49.40,,$33.96,,,,$55.58,,$40.14,,$35.51,,$35.51,,$52.49
CDM,6628941,BIOTENE MOUTHWASH  SOL 240 ML,,,A9155,,250,48582-0802-20,$36.50,$36.50,$18.98,$32.85,,$18.98,,$21.90,,$29.20,,$28.04,,$29.93,,$28.04,,$23.73,,,,,,,,,,,,,,,$23.73,,,$24.38,,$29.20,,,,$29.20,,$23.73,,,,,,,,$29.20,,$31.03,,$29.20,,$20.08,,,,$32.85,,$23.73,,$20.99,,$20.99,,$31.03
CDM,6557561,IOTHALAMATE (CYSTOCONRAY II) 17.2% (250 ML),,,A9554,,250,00019-0862-50,$289.95,$289.95,$159.47,$333.44,,$289.95,,$173.97,,$231.96,,$222.74,,$237.76,,$222.74,,$188.47,,$289.95,,$289.95,,$289.95,,,$289.95,,$289.95,,$289.95,,$188.47,$289.95,,$193.69,,$231.96,,$289.95,,$231.96,,$188.47,,$289.95,,$333.44,,$289.95,,$231.96,,$246.46,,$231.96,,$159.47,,$289.95,,$260.96,,$188.47,,$166.72,,$166.72,,$246.46
CDM,6560361,BARIUM SULFATE (VARIBAR) ORAL SUSP 240 ML,,,A9698,,250,32909-0115-00,$134.85,$134.85,$70.12,$121.37,,$70.12,,$80.91,,$107.88,,$103.59,,$110.58,,$103.59,,$87.65,,,,,,,,,,,,,,,$87.65,,,$90.08,,$107.88,,,,$107.88,,$87.65,,,,,,,,$107.88,,$114.62,,$107.88,,$74.17,,,,$121.37,,$87.65,,$77.54,,$77.54,,$114.62
CDM,6560363,BARIUM SULFATE (VARIBAR) ORAL SUSP 250 ML,,,A9698,,250,32909-0121-07,$459.60,$459.60,$238.99,$413.64,,$238.99,,$275.76,,$367.68,,$353.06,,$376.87,,$353.06,,$298.74,,,,,,,,,,,,,,,$298.74,,,$307.01,,$367.68,,,,$367.68,,$298.74,,,,,,,,$367.68,,$390.66,,$367.68,,$252.78,,,,$413.64,,$298.74,,$264.27,,$264.27,,$390.66
CDM,6566092,BARIUM SULFATE SOL,,,A9698,,250,32909-0105-10,$62.10,$62.10,$32.29,$55.89,,$32.29,,$37.26,,$49.68,,$47.71,,$50.92,,$47.71,,$40.37,,,,,,,,,,,,,,,$40.37,,,$41.48,,$49.68,,,,$49.68,,$40.37,,,,,,,,$49.68,,$52.79,,$49.68,,$34.16,,,,$55.89,,$40.37,,$35.71,,$35.71,,$52.79
CDM,1007457,ACYCLOVIR (ZOVIRAX) [+5MG/ML IN D5 W+] 500MG VIAL,,,J0133,,250,00173-0995-01,$587.96,$587.96,$4.53,$529.16,,$305.74,,$352.78,,$470.37,,$451.67,,$482.13,,$451.67,,$382.17,,$6.02,,$6.02,,$6.02,,,$4.53,,$4.53,,$4.53,,$382.17,$4.53,,$392.76,,$470.37,,$11.19,,$470.37,,$382.17,,$5.89,,$5.21,,$4.53,,$470.37,,$499.77,,$470.37,,$323.38,,$4.53,,$529.16,,$382.17,,$338.08,,$338.08,,$499.77
